CF age band,Gender,Age (bin),Department,Job Role,Job Satisfaction,Education,Attrition,Age,Attrition Count,MIN(1)
35 - 44,Male,39,R&D,Manufacturing Director,2,Bachelor's Degree,No,39,0,1
35 - 44,Male,39,R&D,Research Scientist,4,Bachelor's Degree,No,41,0,1
45 - 54,Male,45,R&D,Research Scientist,4,Bachelor's Degree,No,45,0,1
25 - 34,Male,33,Sales,Sales Executive,3,Associates Degree,No,34,0,1
Over 55,Male,54,Sales,Manager,4,Doctoral Degree,No,55,0,1
45 - 54,Male,45,R&D,Healthcare Representative,3,Bachelor's Degree,No,47,0,1
35 - 44,Male,39,R&D,Research Director,3,High School,No,39,0,1
25 - 34,Male,30,R&D,Manager,4,Bachelor's Degree,No,32,0,1
25 - 34,Male,30,R&D,Manufacturing Director,4,Master's Degree,No,32,0,1
35 - 44,Male,42,R&D,Manager,4,Associates Degree,No,42,0,1
25 - 34,Male,33,Sales,Sales Executive,4,Bachelor's Degree,No,34,0,1
25 - 34,Male,27,R&D,Manufacturing Director,2,Bachelor's Degree,No,27,0,1
35 - 44,Male,36,R&D,Research Scientist,1,Master's Degree,No,37,0,1
25 - 34,Male,33,Sales,Sales Representative,3,Associates Degree,No,34,0,1
35 - 44,Male,39,HR,Manager,4,Associates Degree,No,40,0,1
35 - 44,Male,36,Sales,Sales Representative,4,Master's Degree,No,36,0,1
25 - 34,Female,30,HR,Human Resources,4,Bachelor's Degree,Yes,30,1,1
25 - 34,Female,27,HR,Human Resources,2,Bachelor's Degree,Yes,27,1,1
25 - 34,Female,30,R&D,Manufacturing Director,2,Doctoral Degree,Yes,31,1,1
25 - 34,Female,30,R&D,Research Scientist,3,Bachelor's Degree,Yes,31,1,1
25 - 34,Female,27,Sales,Sales Executive,2,Bachelor's Degree,Yes,29,1,1
25 - 34,Female,30,Sales,Sales Representative,3,Master's Degree,Yes,31,1,1
25 - 34,Female,33,HR,Human Resources,3,Master's Degree,Yes,34,1,1
45 - 54,Female,51,R&D,Manufacturing Director,4,Doctoral Degree,Yes,53,1,1
25 - 34,Female,30,R&D,Research Scientist,2,Bachelor's Degree,Yes,31,1,1
25 - 34,Female,27,Sales,Sales Representative,2,Bachelor's Degree,Yes,29,1,1
45 - 54,Female,48,Sales,Sales Representative,3,Associates Degree,Yes,48,1,1
25 - 34,Female,30,R&D,Research Scientist,3,Associates Degree,Yes,32,1,1
25 - 34,Female,27,R&D,Healthcare Representative,4,High School,Yes,29,1,1
Under 25,Female,18,Sales,Sales Representative,4,Associates Degree,Yes,18,1,1
35 - 44,Female,33,R&D,Laboratory Technician,1,Bachelor's Degree,Yes,35,1,1
25 - 34,Female,24,HR,Human Resources,2,Associates Degree,Yes,26,1,1
Under 25,Female,21,R&D,Laboratory Technician,1,High School,Yes,22,1,1
25 - 34,Female,27,Sales,Sales Executive,3,Associates Degree,Yes,28,1,1
45 - 54,Female,45,R&D,Healthcare Representative,2,Associates Degree,Yes,46,1,1
45 - 54,Female,45,Sales,Sales Executive,2,Bachelor's Degree,Yes,46,1,1
35 - 44,Female,39,R&D,Laboratory Technician,1,Bachelor's Degree,Yes,39,1,1
25 - 34,Female,33,Sales,Sales Executive,2,Master's Degree,Yes,34,1,1
25 - 34,Female,33,Sales,Sales Executive,1,Bachelor's Degree,Yes,33,1,1
45 - 54,Male,48,Sales,Sales Executive,3,Master's Degree,Yes,50,1,1
25 - 34,Male,33,R&D,Laboratory Technician,1,Master's Degree,Yes,34,1,1
25 - 34,Male,27,Sales,Sales Representative,3,Bachelor's Degree,Yes,28,1,1
45 - 54,Male,45,Sales,Sales Executive,3,Bachelor's Degree,Yes,47,1,1
Under 25,Male,21,Sales,Sales Representative,1,Bachelor's Degree,Yes,23,1,1
25 - 34,Male,27,R&D,Laboratory Technician,1,Associates Degree,Yes,28,1,1
25 - 34,Male,27,Sales,Sales Representative,1,Bachelor's Degree,Yes,29,1,1
25 - 34,Male,27,R&D,Laboratory Technician,4,Bachelor's Degree,Yes,28,1,1
45 - 54,Male,45,Sales,Sales Executive,4,Bachelor's Degree,Yes,46,1,1
Under 25,Male,24,HR,Human Resources,3,High School,Yes,24,1,1
25 - 34,Male,30,HR,Human Resources,1,Doctoral Degree,Yes,31,1,1
35 - 44,Male,36,R&D,Manufacturing Director,2,Bachelor's Degree,Yes,38,1,1
Over 55,Male,54,R&D,Laboratory Technician,3,Associates Degree,Yes,56,1,1
25 - 34,Male,24,Sales,Sales Representative,1,Associates Degree,Yes,25,1,1
25 - 34,Male,30,Sales,Sales Executive,3,Master's Degree,Yes,31,1,1
25 - 34,Male,30,Sales,Sales Executive,1,Bachelor's Degree,Yes,30,1,1
35 - 44,Male,33,Sales,Sales Executive,1,Bachelor's Degree,Yes,35,1,1
25 - 34,Male,27,R&D,Research Scientist,1,Master's Degree,Yes,29,1,1
Over 55,Male,54,R&D,Laboratory Technician,4,Associates Degree,Yes,56,1,1
35 - 44,Male,39,R&D,Laboratory Technician,1,Master's Degree,Yes,40,1,1
35 - 44,Male,36,R&D,Manufacturing Director,1,Master's Degree,Yes,37,1,1
25 - 34,Male,30,R&D,Laboratory Technician,2,Master's Degree,Yes,32,1,1
25 - 34,Male,30,Sales,Sales Executive,2,Associates Degree,Yes,32,1,1
Under 25,Male,21,Sales,Sales Representative,2,High School,Yes,21,1,1
25 - 34,Male,30,Sales,Sales Representative,4,Bachelor's Degree,Yes,30,1,1
35 - 44,Male,42,R&D,Research Scientist,2,Associates Degree,Yes,44,1,1
25 - 34,Male,30,R&D,Laboratory Technician,4,Bachelor's Degree,Yes,31,1,1
35 - 44,Male,42,R&D,Research Scientist,3,Bachelor's Degree,Yes,43,1,1
25 - 34,Male,30,Sales,Sales Executive,4,Master's Degree,Yes,31,1,1
Under 25,Male,24,R&D,Laboratory Technician,1,Bachelor's Degree,Yes,24,1,1
25 - 34,Male,27,HR,Human Resources,1,Bachelor's Degree,Yes,29,1,1
35 - 44,Male,33,Sales,Sales Executive,4,Associates Degree,Yes,35,1,1
35 - 44,Male,36,Sales,Sales Executive,1,Doctoral Degree,Yes,36,1,1
45 - 54,Male,48,Sales,Sales Executive,1,Bachelor's Degree,Yes,50,1,1
25 - 34,Male,27,R&D,Research Scientist,4,Master's Degree,Yes,29,1,1
25 - 34,Male,27,R&D,Laboratory Technician,2,Bachelor's Degree,Yes,28,1,1
35 - 44,Male,39,R&D,Laboratory Technician,1,Bachelor's Degree,Yes,40,1,1
Under 25,Male,21,R&D,Laboratory Technician,3,High School,Yes,23,1,1
45 - 54,Male,51,Sales,Sales Executive,1,Master's Degree,Yes,53,1,1
25 - 34,Male,30,Sales,Sales Executive,2,Master's Degree,Yes,32,1,1
35 - 44,Male,33,Sales,Sales Executive,4,Bachelor's Degree,Yes,35,1,1
45 - 54,Male,48,R&D,Laboratory Technician,1,Associates Degree,Yes,49,1,1
25 - 34,Male,33,R&D,Research Scientist,1,Master's Degree,Yes,34,1,1
25 - 34,Male,27,R&D,Research Scientist,4,Associates Degree,Yes,29,1,1
35 - 44,Male,33,Sales,Sales Executive,4,Master's Degree,Yes,35,1,1
Under 25,Male,21,Sales,Sales Representative,4,Bachelor's Degree,Yes,23,1,1
Under 25,Male,21,R&D,Research Scientist,2,High School,Yes,22,1,1
